pid,planId,createdAt,status,decision,mcpCall,op_count,op_kinds,risk_level,risk_score,risk_tags,requires_approval,gates_blocked,gates_evaluated,has_external_endpoint
P05,P05_PLN21,2026-04-24T08:15:56.698Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN22,2026-04-24T08:15:56.454Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN23,2026-04-24T08:15:56.109Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN24,2026-04-24T08:11:12.435Z,applied,approved,ui_remove_component,1,ui.remove_component,high,110,R_DELETE;R_CASCADE_IMPACT,1,approval,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN25,2026-04-24T08:10:49.225Z,applied,approved,ui_update_component_text,1,ui.update_component_text,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN26,2026-04-24T08:02:16.687Z,applied,approved,logic_upsert_function,1,logic.upsert_function,medium,75,R_SCRIPT;R_CONTENT_SUSPICIOUS,1,approval,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN27,2026-04-24T08:00:01.862Z,applied,approved,ui_update_component_property,1,ui.update_component_property,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN28,2026-04-24T07:57:56.199Z,applied,approved,ui_update_component_property,1,ui.update_component_property,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN29,2026-04-24T07:57:30.182Z,applied,approved,logic_set_component_action,1,logic.set_component_action,medium,65,R_ACTION,1,approval,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN30,2026-04-24T07:57:29.906Z,applied,approved,ui_update_component_property,1,ui.update_component_property,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN31,2026-04-24T07:56:20.655Z,applied,approved,logic_upsert_function,1,logic.upsert_function,medium,75,R_SCRIPT;R_CONTENT_SUSPICIOUS,1,approval,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN32,2026-04-24T07:49:20.205Z,applied,approved,apply_operations_batch,19,ui.rename_component,high,115,R_REFERENCE;R_BULK_CHANGE;R_CASCADE_IMPACT,1,approval,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN33,2026-04-24T07:47:56.361Z,applied,approved,apply_operations_batch,10,ui.rename_component,high,85,R_REFERENCE;R_BULK_CHANGE,1,approval,policy;preflight;validation;diff;risk;approval,0
P05,P05_PLN34,2026-04-24T07:42:19.883Z,applied,approved,ui_add_component,1,ui.add_component,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P04,P04_PLN01,2026-04-23T14:11:33.301Z,applied,approved,logic_upsert_function,1,logic.upsert_function,medium,75,R_SCRIPT;R_CONTENT_SUSPICIOUS,1,approval,policy;preflight;validation;diff;risk;approval,0
P04,P04_PLN02,2026-04-23T14:10:27.958Z,applied,approved,ui_update_component_property,1,ui.update_component_property,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P04,P04_PLN03,2026-04-23T14:08:41.623Z,applied,approved,ui_update_component_property,1,ui.update_component_property,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P04,P04_PLN04,2026-04-23T14:08:38.226Z,applied,approved,logic_set_component_action,1,logic.set_component_action,medium,65,R_ACTION,1,approval,policy;preflight;validation;diff;risk;approval,0
P04,P04_PLN05,2026-04-23T14:08:37.976Z,applied,approved,ui_update_component_property,1,ui.update_component_property,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
